GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
ENSG00000238009,1,89295,133723,10,2,46350,-1.105,0.86542
ENSG00000230021,1,521369,763176,31,5,46350,-0.48837,0.68736
ENSG00000198744,1,569756,570302,124,18,44796,-1.617,0.94706
ENSG00000228327,1,661265,714006,316,27,46051,-1.0434,0.85162
ENSG00000223181,1,693613,693716,14,3,46350,0.38539,0.34997
ENSG00000237491,1,714150,745440,31,9,46092,-0.78559,0.78395
ENSG00000230092,1,736259,753092,105,20,46350,-0.3102,0.62179
ENSG00000177757,1,752751,755217,12,1,46350,-0.52836,0.70138
ENSG00000228794,1,760518,794826,152,29,45981,-0.64592,0.74083
ENSG00000225880,1,761586,762902,122,26,46042,-0.6972,0.75716
ENSG00000230368,1,803451,812283,28,5,46278,-0.69702,0.7571
ENSG00000234711,1,808672,809729,3,1,46350,0.20751,0.41781
ENSG00000283040,1,809909,812614,3,1,46350,-0.56498,0.71395
ENSG00000230699,1,846815,850328,24,7,46350,-0.98549,0.83781
ENSG00000187634,1,861118,879961,41,6,45950,-0.74056,0.77052
ENSG00000188976,1,879584,894670,53,11,45852,-1.143,0.87349
ENSG00000187961,1,895967,901095,51,11,46350,0.70907,0.23914
ENSG00000187583,1,901877,910488,81,18,46285,-0.93131,0.82415
ENSG00000187642,1,910584,917473,24,5,46350,1.8103,0.035127
ENSG00000272512,1,931346,933431,13,4,46350,0.44911,0.32668
ENSG00000188290,1,934342,935552,12,3,46350,0.85087,0.19742
ENSG00000187608,1,936518,949921,81,22,46134,-0.5002,0.69153
ENSG00000231702,1,943456,943609,9,3,46350,0.98699,0.16182
ENSG00000224969,1,947377,948573,10,2,46350,0.093495,0.46276
ENSG00000188157,1,955503,991498,92,24,46092,-0.71104,0.76147
ENSG00000242590,1,990413,991496,5,2,46350,-0.14601,0.55804
ENSG00000217801,1,995114,1004735,5,2,46350,0.051969,0.47928
ENSG00000273443,1,997588,998668,2,1,46350,0.58737,0.27848
ENSG00000237330,1,1006346,1009687,8,2,46350,0.35241,0.36227
ENSG00000131591,1,1017198,1051478,50,11,46029,-0.29091,0.61444
ENSG00000205231,1,1108436,1114935,26,3,46350,1.0962,0.1365
ENSG00000162571,1,1109283,1133315,109,20,46226,0.019109,0.49238
ENSG00000186891,1,1138888,1142071,14,2,46350,-0.87215,0.80844
ENSG00000186827,1,1146706,1149512,9,3,46350,0.28109,0.38932
ENSG00000078808,1,1152288,1167411,8,3,46350,-0.52712,0.70095
ENSG00000176022,1,1167645,1170421,10,2,44966,-1.2023,0.88538
ENSG00000184163,1,1177833,1182102,9,2,44938,-1.0849,0.86102
ENSG00000260179,1,1185157,1186714,14,3,44534,-1.3233,0.90712
ENSG00000160087,1,1189294,1209265,17,3,46350,-0.52005,0.69848
ENSG00000230415,1,1210603,1215800,16,3,46350,-0.86043,0.80522
ENSG00000162572,1,1215816,1227409,25,4,46350,-0.80269,0.78892
ENSG00000131584,1,1227756,1243398,10,3,46350,-0.011025,0.5044
ENSG00000169972,1,1243947,1247057,5,2,46350,0.21172,0.41616
ENSG00000127054,1,1246965,1260071,12,3,46350,-0.67049,0.74873
ENSG00000240731,1,1252961,1254069,6,2,46350,-0.92614,0.82281
ENSG00000224051,1,1260147,1264277,9,2,45558,-1.0705,0.8578
ENSG00000169962,1,1266694,1270686,16,5,45371,-0.97476,0.83516
ENSG00000107404,1,1270656,1284730,3,1,46350,-1.3361,0.90924
ENSG00000162576,1,1288069,1297157,28,4,46095,-0.7229,0.76513
ENSG00000175756,1,1309110,1310875,18,4,46129,-0.84375,0.80059
ENSG00000223663,1,1314046,1314412,11,2,45988,-0.4363,0.66869
ENSG00000221978,1,1321875,1334697,23,7,46262,-0.41769,0.66191
ENSG00000224870,1,1334902,1337426,11,4,46166,-0.48994,0.68791
ENSG00000242485,1,1337288,1342693,10,3,46350,-0.3126,0.62271
ENSG00000264293,1,1340841,1341132,3,2,46350,-0.13546,0.55388
ENSG00000272455,1,1344476,1345998,12,3,46350,-0.17148,0.56808
ENSG00000235098,1,1353800,1357149,18,3,45828,0.10605,0.45777
ENSG00000225905,1,1355625,1358071,43,8,46350,0.2075,0.41781
ENSG00000205116,1,1361508,1363167,15,5,45834,-0.94039,0.82649
ENSG00000225285,1,1365919,1369953,11,2,45970,-0.86005,0.80512
ENSG00000179403,1,1370903,1378262,14,4,45516,-1.0784,0.85958
ENSG00000215915,1,1385069,1405538,17,4,45562,0.41262,0.33994
ENSG00000160072,1,1407149,1431582,125,31,46319,1.4716,0.070567
ENSG00000197785,1,1447531,1470067,14,4,44835,-0.87111,0.80815
ENSG00000205090,1,1470554,1475833,3,1,46350,0.02084,0.49169
ENSG00000160075,1,1477053,1510249,74,20,46000,-1.2583,0.89586
ENSG00000215014,1,1510355,1512455,14,3,45203,-0.33302,0.63044
ENSG00000274481,1,1518890,1519289,3,1,46350,0.54502,0.29287
ENSG00000197530,1,1550795,1565990,1,1,46350,-0.5461,0.7075
ENSG00000189339,1,1590990,1624167,28,6,46335,-0.75904,0.77608
ENSG00000008128,1,1634169,1655763,10,2,46350,-1.0125,0.84436
ENSG00000268575,1,1634175,1669127,15,3,46350,-1.2673,0.89748
ENSG00000227775,1,1655951,1668690,14,3,46350,-1.4641,0.92842
ENSG00000215790,1,1656277,1677431,50,11,45688,0.42785,0.33438
ENSG00000008130,1,1682671,1711508,39,12,46027,-1.4218,0.92246
ENSG00000078369,1,1716724,1822556,43,7,46301,1.5746,0.057673
ENSG00000231050,1,1822910,1824097,5,2,46350,-1.4927,0.93224
ENSG00000169885,1,1846266,1848733,25,6,46147,0.96034,0.16844
ENSG00000178821,1,1849029,1850712,11,3,46350,0.59608,0.27556
ENSG00000142609,1,1853390,1935276,306,25,46284,1.6159,0.053056
ENSG00000233542,1,1944652,1946969,6,2,46350,1.282,0.099915
ENSG00000187730,1,1950737,1962197,7,2,46350,1.154,0.12424
ENSG00000226969,1,1980642,1981509,1,1,46350,-1.0741,0.8586
ENSG00000067606,1,2004901,2116829,125,34,45751,0.32265,0.37348
ENSG00000271806,1,2072523,2076718,22,4,46350,0.20095,0.42037
ENSG00000182873,1,2113233,2115828,5,2,46350,1.4808,0.069332
ENSG00000162585,1,2115900,2126214,133,26,46306,0.55306,0.29011
ENSG00000269554,1,2121237,2123179,4,2,46350,0.2568,0.39867
ENSG00000203301,1,2143360,2145620,16,6,46203,0.96977,0.16608
ENSG00000234396,1,2143962,2152177,33,12,46247,0.47999,0.31562
ENSG00000157933,1,2160134,2241558,159,23,46255,0.85653,0.19585
ENSG00000116151,1,2252692,2323146,210,45,45259,0.76303,0.22272
ENSG00000272161,1,2257640,2258132,9,2,46350,0.13431,0.44658
ENSG00000269896,1,2281853,2284259,25,6,46173,0.60776,0.27167
ENSG00000272420,1,2294500,2295067,10,3,46350,0.15551,0.43821
ENSG00000157916,1,2323214,2336883,19,7,44337,0.19967,0.42087
ENSG00000157911,1,2335403,2344010,281,60,46106,1.5872,0.056236
ENSG00000149527,1,2398898,2436965,184,34,46208,0.82831,0.20375
ENSG00000224387,1,2423739,2424697,9,4,46350,1.2522,0.10524
ENSG00000229393,1,2424876,2425918,10,3,46350,0.50793,0.30575
ENSG00000157881,1,2439972,2458067,4,2,46350,0.61805,0.26827
ENSG00000197921,1,2460184,2461684,132,24,46336,2.1217,0.01693
ENSG00000272449,1,2477904,2478899,2,1,46350,1.9711,0.024357
ENSG00000238164,1,2481359,2488470,17,3,43513,2.1492,0.015808
ENSG00000157873,1,2487661,2495268,17,6,44247,2.7783,0.0027324
ENSG00000225931,1,2497849,2501327,111,20,45763,0.82757,0.20396
ENSG00000228037,1,2512999,2515972,13,3,46301,2.4597,0.006953
ENSG00000157870,1,2518189,2522907,56,5,45828,1.6313,0.051413
ENSG00000142606,1,2522082,2564429,51,12,46072,0.58339,0.27982
ENSG00000237058,1,2564007,2568059,9,3,46279,1.4083,0.079516
ENSG00000215912,1,2567415,2718282,159,34,45878,1.8593,0.031494
ENSG00000283259,1,2690149,2693019,16,5,46350,0.13381,0.44678
ENSG00000233234,1,2728415,2729257,127,28,46250,-1.7148,0.95681
ENSG00000231630,1,2730997,2731563,84,23,45873,0.30143,0.38154
ENSG00000169717,1,2938047,2939467,178,36,46264,1.9417,0.026084
ENSG00000177133,1,2976179,2985001,88,17,46245,1.8105,0.035108
ENSG00000142611,1,2985732,3355185,601,66,46150,1.7299,0.041825
ENSG00000226286,1,3049491,3050273,206,40,46350,-0.87515,0.80925
ENSG00000279839,1,3122552,3125228,12,3,46252,0.13062,0.44804
ENSG00000272235,1,3223200,3226660,93,8,46125,0.78962,0.21488
ENSG00000130762,1,3370990,3397677,186,42,46203,0.21118,0.41637
ENSG00000272088,1,3403810,3404191,5,1,46350,1.1852,0.11796
