GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
ENSG00000238009,1,89295,133723,3,1,37397,0.29578,0.3837
ENSG00000230021,1,521369,763176,24,4,45661,1.0174,0.15449
ENSG00000198744,1,569756,570302,81,10,45804,0.1943,0.42297
ENSG00000228327,1,661265,714006,214,18,46744,-0.050046,0.51996
ENSG00000223181,1,693613,693716,6,1,40922,1.0699,0.14233
ENSG00000237491,1,714150,745440,25,6,51810,-0.41092,0.65943
ENSG00000230092,1,736259,753092,77,13,41282,1.2965,0.097405
ENSG00000177757,1,752751,755217,12,1,40907,1.4331,0.075909
ENSG00000228794,1,760518,794826,118,22,44420,-0.12922,0.55141
ENSG00000225880,1,761586,762902,105,22,43450,1.124,0.13051
ENSG00000230368,1,803451,812283,22,3,40023,0.89461,0.1855
ENSG00000230699,1,846815,850328,23,7,49256,0.10854,0.45678
ENSG00000187634,1,861118,879961,37,5,49991,1.0978,0.13616
ENSG00000188976,1,879584,894670,29,4,45579,-1.2265,0.89
ENSG00000187961,1,895967,901095,32,9,39938,-0.22545,0.58919
ENSG00000187583,1,901877,910488,47,11,41295,-0.15774,0.56267
ENSG00000187642,1,910584,917473,18,3,36930,1.3775,0.084185
ENSG00000272512,1,931346,933431,11,3,39325,1.4291,0.076492
ENSG00000188290,1,934342,935552,11,3,37219,2.4017,0.0081601
ENSG00000187608,1,936518,949921,52,13,44572,0.3773,0.35298
ENSG00000231702,1,943456,943609,6,2,38870,0.76814,0.2212
ENSG00000224969,1,947377,948573,3,1,39420,-0.96384,0.83244
ENSG00000188157,1,955503,991498,51,12,47137,-1.431,0.92379
ENSG00000131591,1,1017198,1051478,31,5,47722,0.64582,0.2592
ENSG00000205231,1,1108436,1114935,5,1,40292,-1.073,0.85836
ENSG00000162571,1,1109283,1133315,70,11,46238,-0.86388,0.80617
ENSG00000186827,1,1146706,1149512,4,1,49104,-0.52215,0.69922
ENSG00000078808,1,1152288,1167411,5,2,46341,-0.18739,0.57432
ENSG00000176022,1,1167645,1170421,8,2,47764,-0.16847,0.56689
ENSG00000184163,1,1177833,1182102,8,1,46973,0.10318,0.45891
ENSG00000260179,1,1185157,1186714,8,1,46458,1.1533,0.12439
ENSG00000160087,1,1189294,1209265,14,3,50608,-1.1147,0.8675
ENSG00000230415,1,1210603,1215800,15,3,50787,-1.327,0.90775
ENSG00000162572,1,1215816,1227409,13,2,49686,-0.86596,0.80674
ENSG00000131584,1,1227756,1243398,7,2,44317,0.084982,0.46614
ENSG00000169972,1,1243947,1247057,3,1,48068,-0.68015,0.7518
ENSG00000127054,1,1246965,1260071,10,2,45557,0.33569,0.36855
ENSG00000240731,1,1252961,1254069,4,1,46053,0.62251,0.2668
ENSG00000224051,1,1260147,1264277,6,1,45557,0.7283,0.23321
ENSG00000169962,1,1266694,1270686,9,2,45453,0.3861,0.34971
