ensembl_gene_id,hgnc_symbol,chromosome_name,start_position,end_position,strand,band,gene_biotype
ENSG00000223116,,13,23551994,23552136,-1,q12.12,miRNA
ENSG00000233440,HMGA1P6,13,23708313,23708703,1,q12.12,pseudogene
ENSG00000207157,RNY3P4,13,23726725,23726825,-1,q12.12,misc_RNA
ENSG00000229483,LINC00362,13,23743974,23744736,-1,q12.12,lincRNA
ENSG00000252952,RNU6-58P,13,23791571,23791673,-1,q12.12,snRNA
ENSG00000235205,TATDN2P3,13,23817659,23821323,1,q12.12,pseudogene
ENSG00000232849,LINC00363,13,93708910,93710179,1,q31.3,lincRNA
ENSG00000236803,SDAD1P4,13,23841645,23843289,1,q12.12,pseudogene
ENSG00000232163,RPLP1P13,13,23947562,23948200,1,q12.12,pseudogene
ENSG00000252365,,13,94021100,94021213,-1,q31.3,snoRNA
ENSG00000229558,SACS-AS1,13,23993110,24002818,1,q12.12,lincRNA
ENSG00000235784,HNRNPA1P29,13,94047230,94048108,-1,q31.3,pseudogene
ENSG00000224394,GPC6-AS2,13,94470677,94488397,-1,q31.3,antisense
ENSG00000212559,RNA5SP35,13,94677724,94677852,-1,q31.3,rRNA
ENSG00000232977,LINC00327,13,24040710,24061603,1,q12.12,lincRNA
ENSG00000236520,GPC6-AS1,13,94806447,94840245,-1,q31.3,antisense
ENSG00000227893,LINC00352,13,24072935,24077013,1,q12.12,lincRNA
ENSG00000212057,,13,95117554,95117644,-1,q32.1,miRNA
ENSG00000222129,RNA5SP36,13,95303651,95303783,-1,q32.1,rRNA
ENSG00000232102,MTCO3P2,13,24340073,24340243,-1,q12.12,pseudogene
ENSG00000242037,RN7SL585P,13,95351479,95351756,-1,q32.1,misc_RNA
ENSG00000238230,LINC00391,13,95351948,95355116,-1,q32.1,lincRNA
ENSG00000227640,SOX21-AS1,13,95364970,95368500,1,q32.1,lincRNA
ENSG00000205861,C1QTNF9B-AS1,13,24463028,24471402,1,q12.12,antisense
ENSG00000235768,BRD7P5,13,95409705,95411526,-1,q32.1,pseudogene
ENSG00000237924,RPL21P112,13,95412807,95413269,-1,q32.1,pseudogene
ENSG00000260962,LINC00557,13,95612295,95613573,1,q32.1,lincRNA
ENSG00000252335,RNU6-62P,13,95671489,95671590,1,q32.1,snRNA
ENSG00000238463,,13,95862598,95862702,1,q32.1,snoRNA
ENSG00000223298,RNY3P8,13,95963084,95963209,-1,q32.1,misc_RNA
ENSG00000196593,ANKRD20A19P,13,24513696,24520921,-1,q12.12,pseudogene
ENSG00000200211,RNY4P27,13,95988360,95988455,-1,q32.1,misc_RNA
ENSG00000271492,MEMO1P5,13,96046303,96046708,1,q32.1,pseudogene
ENSG00000223392,CLDN10-AS1,13,96131698,96186164,-1,q32.1,antisense
ENSG00000228741,,13,24553949,24609166,1,q12.12,lincRNA
ENSG00000247400,DNAJC3-AS1,13,96300987,96329179,-1,q32.1,lincRNA
ENSG00000225674,IPO7P2,13,24696204,24697953,-1,q12.12,pseudogene
ENSG00000229622,MTND5P2,13,96344792,96346226,1,q32.1,pseudogene
ENSG00000252695,MIR2276,13,24736555,24736643,1,q12.12,miRNA
ENSG00000227213,SPATA13-AS1,13,24826887,24828577,-1,q12.12,antisense
ENSG00000227714,MTND6P18,13,96346237,96346749,-1,q32.1,pseudogene
ENSG00000240868,C1QTNF9-AS1,13,24889863,24895736,-1,q12.12,antisense
ENSG00000232373,MTCYBP3,13,96346823,96347959,1,q32.1,pseudogene
ENSG00000234627,NUS1P3,13,24902349,24903210,1,q12.12,pseudogene
ENSG00000251901,,13,96366931,96367032,-1,q32.1,snoRNA
ENSG00000261498,LINC00566,13,24905588,24911259,1,q12.12,lincRNA
ENSG00000226977,HMGN1P24,13,96461564,96461861,-1,q32.1,pseudogene
ENSG00000233545,CYCSP33,13,24974841,24975167,1,q12.12,pseudogene
ENSG00000242614,RN7SL164P,13,96821799,96822099,1,q32.1,misc_RNA
ENSG00000233273,AMMECR1LP1,13,97225913,97226753,1,q32.1,pseudogene
ENSG00000205822,TPTE2P6,13,24982295,25171814,1,q12.12,pseudogene
ENSG00000235137,HSP90AB6P,13,97536096,97542067,-1,q32.1,pseudogene
ENSG00000243300,LINC00359,13,97593535,97636426,-1,q32.1,lincRNA
ENSG00000266216,,13,25129366,25129451,-1,q12.12,miRNA
ENSG00000244615,PSPC1P2,13,25140981,25144866,1,q12.12,pseudogene
ENSG00000234267,TULP3P1,13,97599891,97601181,-1,q32.1,pseudogene
ENSG00000243008,,13,25141011,25171814,1,q12.12,processed_transcript
ENSG00000272329,,13,97600272,97601838,1,q32.1,lincRNA
ENSG00000211508,,13,25183217,25183313,1,q12.12,miRNA
ENSG00000222472,RN7SKP7,13,97601503,97601787,-1,q32.1,misc_RNA
ENSG00000207474,RNY1P7,13,25277694,25277803,-1,q12.12,misc_RNA
ENSG00000252154,,13,97618195,97618268,-1,q32.1,snoRNA
ENSG00000225404,RPL26P34,13,25278476,25278926,-1,q12.12,pseudogene
ENSG00000238522,,13,97709633,97709734,1,q32.1,snoRNA
ENSG00000233124,LINC00456,13,97824723,97831876,-1,q32.1,lincRNA
ENSG00000231417,IRX1P1,13,25316815,25320322,1,q12.12,pseudogene
ENSG00000202290,RNA5SP37,13,98015226,98015355,-1,q32.1,rRNA
ENSG00000271625,PSMA6P4,13,98127996,98128713,1,q32.1,pseudogene
ENSG00000226695,ANKRD20A10P,13,25324795,25326309,-1,q12.12,pseudogene
ENSG00000226134,,13,98327265,98330217,-1,q32.2,lincRNA
ENSG00000238407,,13,98538063,98538166,1,q32.2,snoRNA
ENSG00000233291,RPL7AP61,13,98553907,98554542,1,q32.2,pseudogene
ENSG00000270725,,13,98591610,98605793,1,q32.2,lincRNA
ENSG00000253771,TPTE2P1,13,25498815,25542625,-1,q12.13,pseudogene
ENSG00000232217,FTLP8,13,98639204,98639470,-1,q32.2,pseudogene
ENSG00000222969,RN7SKP8,13,98856089,98856446,-1,q32.2,misc_RNA
ENSG00000263399,MIR3170,13,98860778,98860854,1,q32.2,miRNA
ENSG00000269189,,13,98885904,98886954,1,q32.2,sense_intronic
ENSG00000269599,,13,98981909,98985490,-1,q32.2,antisense
ENSG00000251299,SLC25A15P3,13,25517713,25518636,1,q12.13,pseudogene
ENSG00000231194,FARP1-AS1,13,99087659,99088094,-1,q32.2,antisense
ENSG00000271437,,13,99205497,99206034,1,q32.2,pseudogene
ENSG00000232858,RPL34P27,13,25562715,25563063,-1,q12.13,pseudogene
ENSG00000224418,STK24-AS1,13,99229498,99231084,1,q32.2,antisense
ENSG00000256305,,13,25715794,25716046,1,q12.13,pseudogene
ENSG00000217686,NUS1P4,13,99262546,99263130,-1,q32.2,pseudogene
ENSG00000234056,AMER2-AS1,13,25746966,25754217,-1,q12.13,lincRNA
ENSG00000233549,CYCSP35,13,99281940,99282243,-1,q32.2,pseudogene
ENSG00000238169,LINC01053,13,25755579,25763898,1,q12.13,antisense
ENSG00000233662,CALM2P4,13,99293068,99293493,-1,q32.2,pseudogene
ENSG00000225105,LINC01076,13,25767245,25784433,-1,q12.13,lincRNA
ENSG00000243366,RN7SL60P,13,99324234,99324529,1,q32.3,misc_RNA
ENSG00000235315,RPL23AP69,13,25780187,25780644,1,q12.13,pseudogene
ENSG00000229918,DOCK9-AS1,13,99484338,99486883,1,q32.3,antisense
ENSG00000221324,,13,25820669,25820753,1,q12.13,miRNA
ENSG00000260509,,13,25874262,25875576,-1,q12.13,lincRNA
ENSG00000231981,RPL7L1P12,13,99601973,99602701,-1,q32.3,pseudogene
ENSG00000234152,TCEB2P1,13,25939937,25940293,-1,q12.13,pseudogene
ENSG00000265546,RN7SL289P,13,26027137,26027428,-1,q12.13,misc_RNA
ENSG00000207298,RNU6-83P,13,99677488,99677599,1,q32.3,snRNA
ENSG00000199767,RNU6-78P,13,26091257,26091363,1,q12.13,snRNA
ENSG00000260992,DOCK9-AS2,13,99740073,99740879,1,q32.3,antisense
ENSG00000180803,,13,26437388,26437805,-1,q12.13,pseudogene
ENSG00000230871,RPS6P23,13,99825847,99826744,1,q32.3,pseudogene
ENSG00000242381,RN7SL741P,13,26518632,26518891,1,q12.13,misc_RNA
ENSG00000223158,RNY1P3,13,26524842,26524959,-1,q12.13,misc_RNA
ENSG00000231983,LINC00415,13,26626414,26627523,-1,q12.13,lincRNA
ENSG00000234005,GAPDHP22,13,99842833,99843245,-1,q32.3,pseudogene
ENSG00000228889,UBAC2-AS1,13,99848631,99852964,-1,q32.3,lincRNA
ENSG00000233963,ATP8A2P3,13,26688547,26728313,-1,q12.13,pseudogene
ENSG00000201793,RN7SKP9,13,99857962,99858260,1,q32.3,misc_RNA
ENSG00000218502,H2AFZP3,13,99867626,99868012,-1,q32.3,pseudogene
ENSG00000207719,MIR623,13,100008385,100008482,1,q32.3,miRNA
